(o__)? 败了
┑(￣Д￣)┍ 摊手
o(一︿一+)o 怨念，不开心
(￣ε(#￣)☆╰╮o(￣皿￣///) 抽
(ノへ￣、) 擦眼泪，难过
(°ー°〃) 愣住
(；′⌒`) 伤心
o(￣ヘ￣o＃) 哼哼
（＊￣（エ）￣） 无言
~~(﹁﹁)~~~ 切，不爽
(ー`′ー) 生气
凸(艹皿艹) 擦，吃惊，不爽
(￣_,￣) 不屑
━┳━━┳━ 呆
(ˉ▽￣～) 切，不屑
(～￣(OO)￣)ブ 笨
o(≧口≦)o 崩溃
(。﹏。*) 我错了
━━(￣ー￣*|||━━ 淡定
X﹏X 糟糕
ヽ(*。>Д<)o゜ 太可怕了
○|￣|_=3 放屁，不同意
(*￣rǒ￣) 挖鼻屎，不感兴趣
（＝。＝） 可恶
(＠_＠;) 不懂
┌(。Д。)┐ 恐怖
Σ(°△°|||)︴ 汗，无语，无奈
┭┮﹏┭┮ 哭泣，难过
（′Д`） 囧
┗(T﹏T)┛ 投降
(ーー゛) 去
